field 	Temperature 	q_loaded 	q_unloaded 	reso_freq 	Rsf 	del_Rsf 	del_Xsf 
8.223370e+04 	5.171200e+01 	5.361859e+03 	5.471506e+03 	7.880652e+09 	1.924867e-02 	3.174740e-03 	2.240794e-02 
8.137120e+04 	5.171700e+01 	5.400178e+03 	5.508002e+03 	7.880655e+09 	1.911970e-02 	3.045768e-03 	2.233872e-02 
80545 	5.172000e+01 	5.395160e+03 	5.506035e+03 	7.880660e+09 	1.912661e-02 	3.052675e-03 	2.218975e-02 
7.977340e+04 	5.172400e+01 	5.400005e+03 	5.511367e+03 	7.880667e+09 	1.910789e-02 	3.033962e-03 	2.200458e-02 
7.896470e+04 	5.172800e+01 	5.448473e+03 	5.559510e+03 	7.880672e+09 	1.894056e-02 	2.866624e-03 	2.187637e-02 
7.813890e+04 	5.173100e+01 	5.428437e+03 	5.538652e+03 	7.880674e+09 	1.901270e-02 	2.938766e-03 	2.180954e-02 
77313 	5.173600e+01 	5.479743e+03 	5.595647e+03 	7.880681e+09 	1.881684e-02 	2.742910e-03 	2.163164e-02 
7.652260e+04 	5.173900e+01 	5.490940e+03 	5.603921e+03 	7.880686e+09 	1.878874e-02 	2.714810e-03 	2.149913e-02 
7.566080e+04 	5.174400e+01 	5.484715e+03 	5.599090e+03 	7.880691e+09 	1.880514e-02 	2.731208e-03 	2.135921e-02 
7.487030e+04 	5.174800e+01 	5.491211e+03 	5.602524e+03 	7.880696e+09 	1.879348e-02 	2.719547e-03 	2.122007e-02 
7.402640e+04 	5.175300e+01 	5.511034e+03 	5.626315e+03 	7.880702e+09 	1.871324e-02 	2.639304e-03 	2.107066e-02 
7.320040e+04 	5.175700e+01 	5.515646e+03 	5.630910e+03 	7.880707e+09 	1.869778e-02 	2.623853e-03 	2.092408e-02 
7.242790e+04 	5.176100e+01 	5.537376e+03 	5.653714e+03 	7.880713e+09 	1.862150e-02 	2.547565e-03 	2.077345e-02 
71566 	5.176500e+01 	5.573570e+03 	5.690905e+03 	7.880717e+09 	1.849839e-02 	2.424454e-03 	2.066939e-02 
70722 	5.177000e+01 	5.603757e+03 	5.723857e+03 	7.880722e+09 	1.839064e-02 	2.316711e-03 	2.053019e-02 
6.996790e+04 	5.177300e+01 	5.601554e+03 	5.720006e+03 	7.880728e+09 	1.840317e-02 	2.329237e-03 	2.035445e-02 
6.910610e+04 	5.177800e+01 	5.601792e+03 	5.719371e+03 	7.880736e+09 	1.840524e-02 	2.331306e-03 	2.015550e-02 
6.833390e+04 	5.178200e+01 	5.624032e+03 	5.740864e+03 	7.880739e+09 	1.833552e-02 	2.261587e-03 	2.007832e-02 
6.748990e+04 	5.178600e+01 	5.656535e+03 	5.780549e+03 	7.880747e+09 	1.820815e-02 	2.134220e-03 	1.985937e-02 
6.668180e+04 	5.179000e+01 	5.642713e+03 	5.764655e+03 	7.880751e+09 	1.825895e-02 	2.185020e-03 	1.973059e-02 
6.589140e+04 	5.179400e+01 	5.682515e+03 	5.805094e+03 	7.880759e+09 	1.813025e-02 	2.056318e-03 	1.953817e-02 
6.506530e+04 	5.179900e+01 	5.695425e+03 	5.817920e+03 	7.880764e+09 	1.808980e-02 	2.015872e-03 	1.938574e-02 
6.423950e+04 	5.180300e+01 	5.687020e+03 	5.812420e+03 	7.880770e+09 	1.810713e-02 	2.033194e-03 	1.922006e-02 
63395 	5.180800e+01 	5.735557e+03 	5.863135e+03 	7.880775e+09 	1.794863e-02 	1.874694e-03 	1.908505e-02 
6.262310e+04 	5.181200e+01 	5.735086e+03 	5.859578e+03 	7.880783e+09 	1.795965e-02 	1.885722e-03 	1.888183e-02 
6.177910e+04 	5.181800e+01 	5.772553e+03 	5.899716e+03 	7.880787e+09 	1.783599e-02 	1.762062e-03 	1.877957e-02 
6.098940e+04 	5.182200e+01 	5.772430e+03 	5.901675e+03 	7.880794e+09 	1.783000e-02 	1.756070e-03 	1.857623e-02 
6.014490e+04 	5.182500e+01 	5.798515e+03 	5.927745e+03 	7.880801e+09 	1.775063e-02 	1.676699e-03 	1.839584e-02 
5.930040e+04 	5.182900e+01 	5.813724e+03 	5.946039e+03 	7.880809e+09 	1.769535e-02 	1.621419e-03 	1.818727e-02 
5.851060e+04 	5.183400e+01 	5.823728e+03 	5.951925e+03 	7.880812e+09 	1.767764e-02 	1.603707e-03 	1.808879e-02 
5.766620e+04 	5.183800e+01 	5.841729e+03 	5.971014e+03 	7.880819e+09 	1.762043e-02 	1.546500e-03 	1.791270e-02 
5.684070e+04 	5.184100e+01 	5.860690e+03 	5.990577e+03 	7.880825e+09 	1.756218e-02 	1.488249e-03 	1.773584e-02 
5.606850e+04 	5.184600e+01 	5.877587e+03 	6.009191e+03 	7.880833e+09 	1.750711e-02 	1.433177e-03 	1.751225e-02 
5.524240e+04 	5.184900e+01 	5.877674e+03 	6.010387e+03 	7.880838e+09 	1.750358e-02 	1.429651e-03 	1.740175e-02 
54398 	5.185400e+01 	5.937548e+03 	6.068557e+03 	7.880842e+09 	1.733380e-02 	1.259868e-03 	1.728194e-02 
