field 	Temperature 	q_loaded 	q_unloaded 	reso_freq 	Rsf 	del_Rsf 	del_Xsf 
1.832030e+04 	5.201100e+01 	6.724188e+03 	6.905175e+03 	7.881162e+09 	1.520730e-02 	-8.666300e-04 	8.636539e-03 
1.749350e+04 	5.201300e+01 	6.920576e+03 	7.108646e+03 	7.881171e+09 	1.476578e-02 	-1.308152e-03 	8.390436e-03 
1.670260e+04 	5.201600e+01 	6.904054e+03 	7.092014e+03 	7.881173e+09 	1.480092e-02 	-1.273011e-03 	8.333218e-03 
1.587510e+04 	5.201800e+01 	6.878756e+03 	7.065799e+03 	7.881178e+09 	1.485664e-02 	-1.217291e-03 	8.204713e-03 
1.504740e+04 	5.202000e+01 	6.907573e+03 	7.096978e+03 	7.881185e+09 	1.479041e-02 	-1.283517e-03 	8.022617e-03 
1.421910e+04 	5.202300e+01 	6.949816e+03 	7.138524e+03 	7.881202e+09 	1.470306e-02 	-1.370867e-03 	7.543059e-03 
1.337380e+04 	5.202400e+01 	6.808344e+03 	6.991022e+03 	7.881204e+09 	1.501788e-02 	-1.056047e-03 	7.491444e-03 
12618 	5.202800e+01 	6.728901e+03 	6.903759e+03 	7.881215e+09 	1.521047e-02 	-8.634647e-04 	7.212928e-03 
1.179050e+04 	5.203000e+01 	6.840311e+03 	7.022047e+03 	7.881218e+09 	1.495057e-02 	-1.123364e-03 	7.130722e-03 
1.096240e+04 	5.203000e+01 	6.711444e+03 	6.888902e+03 	7.881224e+09 	1.524374e-02 	-8.301917e-04 	6.953901e-03 
10117 	5.203200e+01 	6.648264e+03 	6.821532e+03 	7.881228e+09 	1.539644e-02 	-6.774875e-04 	6.851096e-03 
9.343300e+03 	5.203400e+01 	6.402909e+03 	6.564410e+03 	7.881229e+09 	1.600805e-02 	-6.587972e-05 	6.811204e-03 
8.479500e+03 	5.203600e+01 	6.020107e+03 	6.159502e+03 	7.881244e+09 	1.707471e-02 	1.000783e-03 	6.424778e-03 
7.651700e+03 	5.203800e+01 	5.510467e+03 	5.624003e+03 	7.881319e+09 	1.872128e-02 	2.647351e-03 	4.383161e-03 
6.877800e+03 	5.203900e+01 	5.712887e+03 	5.839833e+03 	7.881424e+09 	1.802132e-02 	1.947384e-03 	1.544178e-03 
6.049700e+03 	5.204000e+01 	6.251240e+03 	6.400531e+03 	7.881478e+09 	1.642351e-02 	3.495757e-04 	9.477634e-05 
5.203600e+03 	5.204000e+01 	6.649184e+03 	6.818040e+03 	7.881506e+09 	1.540444e-02 	-6.694903e-04 	-6.736624e-04 
4429 	5.204200e+01 	6.700651e+03 	6.877121e+03 	7.881535e+09 	1.527023e-02 	-8.037035e-04 	-1.435526e-03 
3.619400e+03 	5.204100e+01 	6.567067e+03 	6.728997e+03 	7.881565e+09 	1.561117e-02 	-4.627626e-04 	-2.264610e-03 
2773 	5.204300e+01 	6.224610e+03 	6.372146e+03 	7.881584e+09 	1.649764e-02 	4.237066e-04 	-2.773598e-03 
1.943900e+03 	5.204200e+01 	6.005575e+03 	6.144398e+03 	7.881596e+09 	1.711722e-02 	1.043292e-03 	-3.091850e-03 
1.114700e+03 	5.204500e+01 	5.902292e+03 	6.035947e+03 	7.881604e+09 	1.742870e-02 	1.354766e-03 	-3.324212e-03 
3.033000e+02 	5.204500e+01 	5.945638e+03 	6.082383e+03 	7.881605e+09 	1.729397e-02 	1.220042e-03 	-3.337563e-03 
