Frequency[Hz]	Surface Geometrical Factor[Ohms]
10327471990	250.3437606
10315422968	250.0554078
10302979492	249.7576023
10292897554	249.5163036
10287361231	249.3837949
10284659889	249.3191388
10281400290	249.2411207
10274281399	249.0707257
10262450039	248.7875258
10247790269	248.4366064
10232309352	248.0660097
10217464528	247.7106203
10203153029	247.3679802
10188990269	247.0288836
10174619755	246.6847939
10159882958	246.3319149
10129106123	245.5948876
10113633345	245.2243228
10099757454	244.8919837
10088967218	244.6335375
10081931733	244.4650187
10076405177	244.3326395
10069502066	244.1672837
10058665074	243.9076883
10044746609	243.5742629
10030696545	243.2376665
10019425196	242.9676277
10012155050	242.7934437
10007474273	242.6812953
10003752140	242.5921143
9999641531	242.493624
9995009379	242.3826361
9990056140	242.2639519
9984957971	242.1417928
9979558158	242.0124037
9973453921	241.8661329
9966244570	241.6933767
9958067401	241.4974232
9950074616	241.3058818
9943521565	241.1488392
9939403827	241.0501564
9937364160	241.0012743
9936597465	240.9829006
9936324354	240.9763553
9936196688	240.9732952
	
