13/12/2023 15:55:50:getTemprature ['2', '10896.92', '47.5979']
13/12/2023 15:55:50:getField ['4', '10897.44', '0.000']
13/12/2023 15:55:54:getTemprature ['2', '10901.17', '47.5958']
13/12/2023 15:55:55:getField ['4', '10901.69', '0.000']
13/12/2023 15:55:58:getTemprature ['2', '10905.44', '47.6016']
13/12/2023 15:55:59:getField ['4', '10905.89', '0.000']
13/12/2023 15:56:03:getTemprature ['2', '10909.58', '47.6026']
13/12/2023 15:56:03:getField ['4', '10910.09', '0.000']
13/12/2023 15:56:07:getTemprature ['2', '10913.80', '47.6019']
13/12/2023 15:56:07:getField ['4', '10914.31', '0.000']
13/12/2023 16:05:28:getTemprature ['2', '11474.64', '47.5992']
13/12/2023 16:05:28:getField ['4', '11475.19', '0.000']
13/12/2023 16:05:29:getTemprature ['2', '11475.86', '47.6013']
13/12/2023 16:05:29:getField ['4', '11476.39', '0.000']
13/12/2023 16:05:33:getTemprature ['2', '11480.08', '47.5976']
13/12/2023 16:05:34:getField ['4', '11480.58', '0.000']
13/12/2023 16:05:37:getTemprature ['2', '11484.28', '47.5992']
13/12/2023 16:05:38:getField ['4', '11484.80', '0.000']
13/12/2023 16:05:42:getTemprature ['2', '11488.48', '47.6013']
13/12/2023 16:05:42:getField ['4', '11489.00', '0.000']
13/12/2023 16:05:46:getTemprature ['2', '11492.69', '47.6003']
13/12/2023 16:05:46:getField ['4', '11493.22', '0.000']
13/12/2023 16:05:50:getTemprature ['2', '11496.89', '47.6003']
13/12/2023 16:05:50:getField ['4', '11497.42', '0.000']
13/12/2023 16:05:54:getTemprature ['2', '11501.09', '47.5976']
13/12/2023 16:05:55:getField ['4', '11501.64', '0.000']
13/12/2023 16:05:58:getTemprature ['2', '11505.39', '47.6013']
13/12/2023 16:05:59:getField ['4', '11505.83', '0.000']
13/12/2023 16:06:03:getTemprature ['2', '11509.53', '47.6003']
13/12/2023 16:06:03:getField ['4', '11510.14', '0.000']
13/12/2023 16:06:07:getTemprature ['2', '11513.78', '47.5989']
13/12/2023 16:06:07:getField ['4', '11514.25', '0.000']
13/12/2023 16:06:16:getTemprature ['2', '11523.25', '47.5978']
13/12/2023 16:06:17:getField ['4', '11523.47', '0.000']
13/12/2023 16:06:20:getTemprature ['2', '11527.17', '47.5973']
13/12/2023 16:06:21:getField ['4', '11527.70', '0.000']
13/12/2023 16:06:24:getTemprature ['2', '11531.39', '47.5989']
13/12/2023 16:06:25:getField ['4', '11531.89', '0.000']
13/12/2023 16:06:29:getTemprature ['2', '11535.61', '47.6004']
13/12/2023 16:06:29:getField ['4', '11536.11', '0.000']
13/12/2023 16:06:33:getTemprature ['2', '11539.81', '47.5994']
13/12/2023 16:06:33:getField ['4', '11540.31', '0.000']
13/12/2023 16:06:37:getTemprature ['2', '11544.02', '47.6004']
13/12/2023 16:06:38:getField ['4', '11544.52', '0.000']
13/12/2023 16:06:41:getTemprature ['2', '11548.27', '47.5994']
13/12/2023 16:06:42:getField ['4', '11548.77', '0.000']
13/12/2023 16:06:46:getTemprature ['2', '11552.50', '47.6041']
13/12/2023 16:06:46:getField ['4', '11552.97', '0.000']
13/12/2023 16:06:50:getTemprature ['2', '11556.67', '47.6020']
13/12/2023 16:06:50:getField ['4', '11557.19', '0.000']
13/12/2023 16:06:54:getTemprature ['2', '11560.92', '47.5978']
13/12/2023 16:06:54:getField ['4', '11561.42', '0.000']
13/12/2023 16:06:58:getTemprature ['2', '11565.11', '47.5999']
13/12/2023 16:06:59:getField ['4', '11565.64', '0.000']
13/12/2023 16:07:02:getTemprature ['2', '11569.33', '47.6004']
13/12/2023 16:07:03:getField ['4', '11569.86', '0.000']
13/12/2023 16:07:07:getTemprature ['2', '11573.53', '47.5989']
13/12/2023 16:07:07:getField ['4', '11574.05', '0.000']
13/12/2023 16:08:31:getTemprature ['2', '11657.45', '47.5942']
13/12/2023 16:08:31:getField ['4', '11657.95', '0.000']
13/12/2023 16:08:32:getTemprature ['2', '11658.66', '47.6021']
13/12/2023 16:08:32:getField ['4', '11659.17', '0.000']
13/12/2023 16:08:36:getTemprature ['2', '11662.89', '47.6005']
13/12/2023 16:08:36:getField ['4', '11663.36', '0.000']
13/12/2023 16:08:40:getTemprature ['2', '11667.09', '47.6016']
13/12/2023 16:08:41:getField ['4', '11667.61', '0.000']
13/12/2023 16:08:44:getTemprature ['2', '11671.30', '47.6016']
13/12/2023 16:08:45:getField ['4', '11671.81', '0.000']
13/12/2023 16:08:49:getTemprature ['2', '11675.52', '47.6010']
13/12/2023 16:08:49:getField ['4', '11676.00', '0.000']
13/12/2023 16:08:53:getTemprature ['2', '11679.75', '47.6016']
13/12/2023 16:08:53:getField ['4', '11680.25', '0.000']
13/12/2023 16:08:57:getTemprature ['2', '11683.95', '47.6005']
13/12/2023 16:08:58:getField ['4', '11684.47', '0.000']
13/12/2023 16:09:01:getTemprature ['2', '11688.17', '47.5984']
13/12/2023 16:09:02:getField ['4', '11688.67', '0.000']
13/12/2023 16:09:05:getTemprature ['2', '11692.44', '47.6000']
13/12/2023 16:09:06:getField ['4', '11692.88', '0.000']
13/12/2023 16:09:10:getTemprature ['2', '11696.58', '47.6018']
13/12/2023 16:09:16:getField ['4', '11703.20', '0.000']
13/12/2023 16:09:20:getTemprature ['2', '11706.59', '47.6002']
13/12/2023 16:09:20:getField ['4', '11707.09', '0.000']
13/12/2023 16:09:46:getTemprature ['2', '11733.20', '47.5981']
13/12/2023 16:09:47:getField ['4', '11733.72', '0.000']
13/12/2023 16:09:47:getTemprature ['2', '11734.42', '47.5981']
13/12/2023 16:09:48:getField ['4', '11734.92', '0.000']
13/12/2023 16:09:52:getTemprature ['2', '11738.64', '47.6039']
13/12/2023 16:09:52:getField ['4', '11739.14', '0.000']
13/12/2023 16:09:56:getTemprature ['2', '11742.86', '47.5986']
13/12/2023 16:09:56:getField ['4', '11743.41', '0.000']
13/12/2023 16:10:00:getTemprature ['2', '11747.08', '47.5986']
13/12/2023 16:10:01:getField ['4', '11747.56', '0.000']
13/12/2023 16:10:04:getTemprature ['2', '11751.31', '47.5981']
13/12/2023 16:10:05:getField ['4', '11751.77', '0.000']
13/12/2023 16:10:09:getTemprature ['2', '11755.48', '47.5989']
13/12/2023 16:10:09:getField ['4', '11756.00', '0.000']
13/12/2023 16:10:16:getTemprature ['2', '11763.27', '47.5967']
13/12/2023 16:10:17:getField ['4', '11763.78', '0.000']
13/12/2023 16:10:21:getTemprature ['2', '11767.47', '47.5994']
13/12/2023 16:10:21:getField ['4', '11767.98', '0.000']
13/12/2023 16:10:25:getTemprature ['2', '11771.69', '47.6041']
13/12/2023 16:10:25:getField ['4', '11772.16', '0.000']
13/12/2023 16:10:29:getTemprature ['2', '11775.88', '47.5973']
13/12/2023 16:10:29:getField ['4', '11776.47', '0.000']
13/12/2023 16:10:33:getTemprature ['2', '11780.11', '47.6036']
13/12/2023 16:10:34:getField ['4', '11780.61', '0.000']
13/12/2023 16:10:37:getTemprature ['2', '11784.34', '47.5978']
13/12/2023 16:10:38:getField ['4', '11784.81', '0.000']
13/12/2023 16:10:42:getTemprature ['2', '11788.52', '47.6004']
13/12/2023 16:10:42:getField ['4', '11789.05', '0.000']
13/12/2023 16:10:46:getTemprature ['2', '11792.72', '47.6020']
13/12/2023 16:10:46:getField ['4', '11793.25', '0.000']
13/12/2023 16:10:50:getTemprature ['2', '11796.97', '47.5999']
13/12/2023 16:10:51:getField ['4', '11797.47', '0.000']
13/12/2023 16:10:54:getTemprature ['2', '11801.19', '47.6004']
13/12/2023 16:10:55:getField ['4', '11801.70', '0.000']
13/12/2023 16:10:58:getTemprature ['2', '11805.41', '47.5999']
13/12/2023 16:10:59:getField ['4', '11805.91', '0.000']
13/12/2023 16:11:03:getTemprature ['2', '11809.59', '47.5978']
13/12/2023 16:11:03:getField ['4', '11810.11', '0.000']
13/12/2023 16:11:07:getTemprature ['2', '11813.84', '47.5989']
13/12/2023 16:11:07:getField ['4', '11814.33', '0.000']
13/12/2023 16:11:16:getTemprature ['2', '11823.20', '47.5994']
13/12/2023 16:11:16:getField ['4', '11823.41', '0.000']
13/12/2023 16:11:20:getTemprature ['2', '11827.11', '47.6036']
13/12/2023 16:11:21:getField ['4', '11827.66', '0.000']
13/12/2023 16:11:24:getTemprature ['2', '11831.34', '47.5999']
13/12/2023 16:11:25:getField ['4', '11831.83', '0.000']
13/12/2023 16:11:29:getTemprature ['2', '11835.55', '47.5989']
13/12/2023 16:11:29:getField ['4', '11836.03', '0.000']
13/12/2023 16:11:33:getTemprature ['2', '11839.73', '47.6026']
13/12/2023 16:11:33:getField ['4', '11840.25', '0.000']
13/12/2023 16:11:37:getTemprature ['2', '11843.95', '47.6004']
13/12/2023 16:11:38:getField ['4', '11844.45', '0.000']
13/12/2023 16:11:41:getTemprature ['2', '11848.16', '47.5983']
13/12/2023 16:11:42:getField ['4', '11848.66', '0.000']
13/12/2023 16:11:45:getTemprature ['2', '11852.38', '47.6004']
13/12/2023 16:11:46:getField ['4', '11852.86', '0.000']
13/12/2023 16:11:50:getTemprature ['2', '11856.61', '47.6020']
13/12/2023 16:11:50:getField ['4', '11857.08', '0.000']
13/12/2023 16:11:54:getTemprature ['2', '11860.78', '47.5978']
13/12/2023 16:11:54:getField ['4', '11861.27', '0.000']
13/12/2023 16:11:58:getTemprature ['2', '11864.98', '47.5989']
13/12/2023 16:11:59:getField ['4', '11865.55', '0.000']
13/12/2023 16:23:04:getTemprature ['2', '12531.11', '47.6004']
13/12/2023 16:23:05:getField ['4', '12531.61', '0.000']
13/12/2023 16:23:05:getTemprature ['2', '12532.33', '47.5957']
13/12/2023 16:23:06:getField ['4', '12532.81', '0.000']
13/12/2023 16:23:10:getTemprature ['2', '12536.72', '47.6010']
13/12/2023 16:23:17:getField ['4', '12544.50', '0.000']
13/12/2023 16:23:21:getTemprature ['2', '12548.14', '47.5978']
